task,layer,position,mean_auroc,std_auroc,n_seeds,n_train,n_test
A,0,entity,0.5,0.0,3,640,80
A,0,final,0.30625,0.0,3,640,80
A,1,entity,0.5,0.0,3,640,80
A,1,final,0.065625,0.0,3,640,80
A,2,entity,0.5,0.0,3,640,80
A,2,final,0.90375,0.0,3,640,80
A,3,entity,0.5,0.0,3,640,80
A,3,final,1.0,0.0,3,640,80
A,4,entity,0.5,0.0,3,640,80
A,4,final,1.0,0.0,3,640,80
A,5,entity,0.5,0.0,3,640,80
A,5,final,1.0,0.0,3,640,80
A,6,entity,0.5,0.0,3,640,80
A,6,final,1.0,0.0,3,640,80
A,7,entity,0.5,0.0,3,640,80
A,7,final,1.0,0.0,3,640,80
A,8,entity,0.5,0.0,3,640,80
A,8,final,1.0,0.0,3,640,80
A,9,entity,0.5,0.0,3,640,80
A,9,final,1.0,0.0,3,640,80
A,10,entity,0.5,0.0,3,640,80
A,10,final,1.0,0.0,3,640,80
A,11,entity,0.49999999999999994,0.0,3,640,80
A,11,final,1.0,0.0,3,640,80
A,12,entity,0.49999999999999994,0.0,3,640,80
A,12,final,1.0,0.0,3,640,80
A,13,entity,0.5,0.0,3,640,80
A,13,final,1.0,0.0,3,640,80
A,14,entity,0.49999999999999994,0.0,3,640,80
A,14,final,1.0,0.0,3,640,80
A,15,entity,0.5,0.0,3,640,80
A,15,final,1.0,0.0,3,640,80
A,16,entity,0.5,0.0,3,640,80
A,16,final,1.0,0.0,3,640,80
A,17,entity,0.5,0.0,3,640,80
A,17,final,1.0,0.0,3,640,80
A,18,entity,0.49999999999999994,0.0,3,640,80
A,18,final,1.0,0.0,3,640,80
A,19,entity,0.49999999999999994,0.0,3,640,80
A,19,final,1.0,0.0,3,640,80
A,20,entity,0.49999999999999994,0.0,3,640,80
A,20,final,1.0,0.0,3,640,80
A,21,entity,0.49999999999999994,0.0,3,640,80
A,21,final,1.0,0.0,3,640,80
A,22,entity,0.5,0.0,3,640,80
A,22,final,1.0,0.0,3,640,80
